city,n()
Islamorada,212
Kevelaer,212
Kewaunee,212
Königstein im Taunus,212
Oberkirch,212
Rawlins,212
Saukville,212
Waterboro,212
West Liberty,212
Wiggins,212
Agassiz,211
Carmi,211
Ellijay,211
Griffith,211
Hart,211
Remus,211
Sisters,211
Stevenson Ranch,211
Sunset Valley,211
Walden,211
Wasco,211
Wendelstein,211
Wright City,211
Wrightsville,211
Zülpich,211
Bellows Falls,210
Berryville,210
Fairplay,210
Feasterville,210
Kenansville,210
Lakefield,210
Moraga,210
Ogallala,210
Olching,210
Old Hickory,210
Rutesheim,210
Vestavia,210
Walnut Ridge,210
Waren,210
Whidbey Island,210
Bad Münstereifel,209
Bay Minette,209
Blandon,209
Burtonsville,209
Cottondale,209
Garden City Park,209
Glenpool,209
Kemah,209
La Vale,209
Leopoldshöhe,209
Street,209
Waghäusel,209
Waltershausen,209
White Sands Missile Range,209
Barron,208
Belfair,208
Bernardsville,208
Boxberg,208
Coconut Grove,208
Emerald Isle,208
Fallingbostel,208
Füssen,208
Jacksonville Beach,208
Jeffersontown,208
Kinder,208
Little Silver,208
Mühlheim am Main,208
Rayville,208
Reedley,208
Sag Harbor,208
Seebad Bansin,208
Surfside Beach,208
Tamuning,208
Thorofare,208
Tilbury,208
Toppenish,208
Welch,208
Yadkinville,208
Baie-d'urfe,207
Bixby,207
Coaldale,207
Drensteinfurt,207
Franksville,207
Harris,207
High Level,207
Jamesburg,207
Mount Hood,207
Nevada City,207
Newton Falls,207
River Grove,207
Stafford Springs,207
Altenkirchen,206
Bethalto,206
East Liberty,206
East Setauket,206
Essingen,206
Fredericktown,206
Gooding,206
Karlstein am Main,206
Lumber Bridge,206
Marksville,206
Neunkirchen-Seelscheid,206
Owens Cross Roads,206
Rothschild,206
Stanhope,206
Stockstadt am Main,206
Sunshine Coast,206
Trinidad,206
West Siloam Springs,206
Woods Cross,206
Artern,205
Boothwyn,205
Goose Bay,205
Haskell,205
Howard Beach,205
Jüterbog,205
Newtonville,205
Park Falls,205
Rocky Mountain House,205
Stayner,205
Sülzetal,205
Trossingen,205
Upper St. Clair,205
Walbridge,205
Wood River,205
Aguadilla,204
Custer,204
East Moline,204
Gärtringen,204
Haddonfield,204
Kernen im Remstal,204
Lathrup Village,204
Nebraska City,204
Neillsville,204
Perryton,204
Schöneck,204
South Shore,204
Stevenson,204
Summerfield,204
Temple City,204
Tornesch,204
Troutville,204
Usingen,204
Wheelersburg,204
Alpen,203
Bad Nenndorf,203
Columbia Station,203
Eastland,203
Fowlerville,203
Gerichshain,203
Greenfield Park,203
Haldenwang,203
Kirkland Lake,203
Lohne (Oldenburg),203
Löningen,203
Luke AFB,203
Luray,203
Newton Grove,203
Pleasant Garden,203
Rötha,203
Sarver,203
Saßnitz,203
South Hills,203
Winston,203
Charleroi,202
Demopolis,202
Edgefield,202
Freedom,202
Großenkneten,202
Hales Corners,202
Heuchelheim,202
Holdrege,202
Lac-Mégantic,202
Neustadt an der Orla,202
Rexdale,202
Ville Platte,202
Campbellton,201
Charter Township of Harrison,201
Chesaning,201
Herzlake,201
Kölleda,201
Macclenny,201
Mather,201
Medfield,201
Newhall,201
Newport Coast,201
Ottobeuren,201
Rhein,201
Tequesta,201
Wyncote,201
Barceloneta,200
Brookshire,200
Bruce,200
Burgettstown,200
Engelskirchen,200
Gernsheim,200
Mellrichstadt,200
Nekoosa,200
Old Lyme,200
Ponoka,200
Rio Grande Valley,200
Township of Manchester,200
Waldershof,200
Bad Axe,199
Dell Rapids,199
Frontenac,199
Galax,199
Holmes Beach,199
L'Assomption,199
La Place,199
Lichtenau,199
Lino Lakes,199
Mainz Kostheim,199
Point Clear,199
Russell Springs,199
Sandy Spring,199
Sneads Ferry,199
St. Lawrence,199
Weißenhorn,199
Bad Saarow,198
Becker,198
Blawnox,198
Chalk River,198
Chiefland,198
Côte-Saint-Luc,198
Fillmore,198
Gangelt,198
Grandview Heights,198
Le Center,198
Lübtheen,198
Lusby,198
McGaheysville,198
New Bothwell,198
Niwot,198
Oberndorf am Neckar,198
Osprey,198
Poteau,198
Ridgway,198
Sauk City,198
Thonotosassa,198
Township of Green,198
Bradford West Gwillimbury,197
Emerson,197
Grosse Pointe Woods,197
Haren,197
Juncos,197
Kiawah Island,197
Linn,197
Neuburg,197
Staples,197
Airway Heights,196
Buchanan,196
City Industry,196
Coleman,196
Eatonton,196
Elma,196
Emmerthal,196
Enger,196
Hessisch Lichtenau,196
Kirchzarten,196
Loudonville,196
Norfolk County,196
Payette,196
Pendergrass,196
Saarwellingen,196
Schwenksville,196
Sparks Glencoe,196
Township of Ocean,196
Township of Woodbridge,196
Triptis,196
Weinstadt,196
Yreka,196
Aken,195
Attica,195
Bluffdale,195
Castaic,195
Elkview,195
Engineer,195
Föhren,195
Fox River Grove,195
Heroldsberg,195
Hochheim am Main,195
Kapuskasing,195
Lauenburg/Elbe,195
Macedon,195
Monongahela,195
Nome,195
North Decatur,195
Port Royal,195
South Euclid,195
Stuttgart Zuffenhausen,195
Susanville,195
Bandon,194
Biedenkopf,194
Buckhead,194
Coopersburg,194
Crystal,194
Eltville am Rhein,194
Estacada,194
Fogelsville,194
Fort Edward,194
Hope Hull,194
Hövelhof,194
Kalida,194
La Follette,194
Rising Sun,194
Spencerport,194
Stadtbergen,194
Stemwede,194
Summerlin,194
Amery,193
Barrow,193
Blanchester,193
Gustine,193
Kekaha,193
Logan Lake,193
Neufahrn bei Freising,193
Pfullingen,193
St. Jacobs,193
Waren (Müritz),193
Werdau,193
Bönnigheim,192
Croydon,192
Falkensee,192
Glen Gardner,192
Glenolden,192
Gormley,192
Homer Glen,192
La Ronge,192
Leonia,192
Manvel,192
Michelstadt,192
North Branford,192
Ocean Pines,192
Peoria Heights,192
Rossville,192
Round Lake Beach,192
Stony Point,192
Union Beach,192
Versmold,192
Williamson,192
Wilnsdorf,192
Buxton,191
Caribou,191
Dudley,191
Felton,191
Hüllhorst,191
Knox,191
Krumbach,191
Meersburg,191
Moriarty,191
Mount Shasta,191
Remington,191
Township of Washington,191
Blankenfelde,190
Britt,190
Calumet,190
Corry,190
Don Mills,190
Grand Bend,190
Haselünne,190
Kittrell,190
Lake Junaluska,190
Long Grove,190
Selah,190
South Houston,190
South Riding,190
Swansboro,190
Township of Anderson,190
Washburn,190
Wimberley,190
Ballston Lake,189
Belen,189
Bricktown,189
Brodhead,189
Firebaugh,189
Fort Stockton,189
Grand Chute,189
Hamburg-Eimsbüttel,189
Marlin,189
Morbach,189
Penn Valley,189
Port Edwards,189
Saalburg-Ebersdorf,189
Troutman,189
West Frankfort,189
Brakel,188
Callahan,188
Cotulla,188
Cowansville,188
Dietfurt an der Altmühl,188
Frazer,188
Glen Ridge,188
Grünwald,188
Kendall Park,188
Maiden,188
Meadow Lake,188
Olfen,188
Seesen,188
Senneville,188
Statham,188
Sundre,188
Waldeck,188
Western Springs,188
Winkler,188
Woodsfield,188
Cascade,187
Ceredo,187
Closter,187
Comanche,187
Egelsbach,187
Kirn,187
South Ozone Park,187
Wennigsen,187
Büdelsdorf,186
Catalina Foothills,186
Crossett,186
Elizabethport,186
Gouldsboro,186
Immenstadt im Allgäu,186
La Center,186
La Feria,186
Mahopac,186
Mount Orab,186
Needham Heights,186
Neustadt,186
Nicolet,186
Pomeroy,186
Preetz,186
Rama,186
South Tampa,186
Springvale,186
Stellingen,186
Wamego,186
Asperg,185
Badenweiler,185
Biebesheim am Rhein,185
Bishopville,185
Chittenango,185
Dyess AFB,185
East Cleveland,185
Elmont,185
Farmingville,185
Fort Wainwright,185
Gwynedd,185
Haverstraw,185
Key Biscayne,185
Lagrangeville,185
Laguna Woods,185
Neuenrade,185
Park Hills,185
Queenstown,185
Vallendar,185
Wilberforce,185
Bad Urach,184
Bellmead,184
Bonita,184
Central City,184
Friedrichsthal,184
Many,184
Minot AFB,184
Neuenkirchen,184
Oberding,184
Paynesville,184
Piti,184
Pitman,184
Rhode Island,184
Saint Andrews,184
Sparwood,184
Walldürn,184
Alexandria Bay,183
Bexbach,183
Charlton,183
Cle Elum,183
Crested Butte,183
Fairbury,183
Gowanda,183
Gregory,183
La Baie,183
Langenau,183
Lutherstadt Eisleben,183
New Minas,183
Nipomo,183
Ronneburg,183
Sörup,183
Tofino,183
Township of Wall,183
Bloomfield Township,182
Boothbay,182
Cannon AFB,182
Choctaw,182
Cresson,182
Karlstadt,182
Keasbey,182
Lorch,182
Napa Valley,182
Norway,182
Sainte-Agathe-des-Monts,182
South Deerfield,182
St. Paul,182
Steinau an der Straße,182
Wachtberg,182
Bad Doberan,181
Bad Pyrmont,181
Bodensee,181
Clarendon Hills,181
Fort Richardson,181
Harzgerode,181
Lionville,181
Little Neck,181
Maxwell AFB,181
Prairie View,181
Prüm,181
Stutensee,181
Swanzey,181
Tamm,181
Waibstadt,181
Bodelshausen,180
Carefree,180
College Place,180
De Queen,180
Dutch Harbor,180
Grand Terrace,180
Hanceville,180
Herzberg (Elster),180
Horizon City,180
Indian Land,180
Kleinheubach,180
Lippe,180
Opp,180
Rock Falls,180
Tuscola,180
United,180
Calais,179
Delligsen,179
Höhr-Grenzhausen,179
Ilshofen,179
Kellogg,179
Kenedy,179
Lake Ronkonkoma,179
Montevallo,179
Mulfingen,179
Park,179
Primm,179
St. Stephen,179
Sunland,179
Wading River,179
Wallops Island,179
Wernberg-Köblitz,179
Weßling,179
Winthrop,179
Amelia Island,178
Bentleyville,178
Central Falls,178
Chariton,178
Clarinda,178
Freiberg am Neckar,178
Glen Head,178
Grevesmühlen,178
Hallettsville,178
Kremmen,178
Landenberg,178
Leechburg,178
Loxahatchee,178
Minocqua,178
Nelsonville,178
New Glarus,178
New Kent,178
Pagosa Springs,178
Paxton,178
Star,178
Walnutport,178
Westhampton Beach,178
Willcox,178
Bebra,177
Benton City,177
Blumberg,177
Donna,177
Eagle Lake,177
Ehringshausen,177
Fort Scott,177
Griesheim,177
Indian Harbour Beach,177
Minneola,177
Oakhurst,177
Osterweddingen,177
Pebble Beach,177
Pine Grove,177
Polch,177
Quierschied,177
Rosenfeld,177
Saint Ignace,177
Saint-Augustin,177
Saint-henri-de-levis,177
Topsfield,177
Wallington,177
Zimmern ob Rottweil,177
Atherton,176
Bad Marienberg,176
Bogen,176
Clay Center,176
Collingswood,176
Datteln,176
Dilley,176
Franklin Square,176
Gauting,176
Goddard,176
Herdecke,176
Kingsey Falls,176
Köln-Porz,176
Lampoldshausen,176
Madras,176
Mittenwald,176
Montague,176
Niestetal,176
Nottoway,176
Outremont,176
Quapaw,176
Rootstown,176
Schwarzenbruck,176
Ventnor City,176
Bernau am Chiemsee,175
Buchloe,175
Calabash,175
Cedar Springs,175
Glenshaw,175
Kreisfreie Stadt Frankenthal,175
Kriftel,175
Lafox,175
Lugoff,175
Mertingen,175
Pensacola Beach,175
Pueblo West,175
Roaring Spring,175
Salzkotten,175
Sea Girt,175
South Kingstown,175
Templin,175
Vinings,175
Walluf,175
Bethany Beach,174
Chesterland,174
Courtland,174
Franklinville,174
Miller Place,174
Point Richmond,174
Rockwell,174
Saint-Anselme,174
Sioux Lookout,174
Sutherland,174
University City,174
Valdese,174
Wahlstedt,174
Woods Hole,174
Bad Grönenbach,173
Copley,173
Dotternhausen,173
Downsview,173
Eckental,173
Emmetsburg,173
Ergolding,173
Gold Canyon,173
Hilchenbach,173
Jenkinsville,173
Kiln,173
Lake Tahoe,173
Marshville,173
Neckargemünd,173
North Atlanta,173
Northford,173
Red Bud,173
Regierungsbezirk Münster,173
Stadtlohn,173
Steele,173
Township of Franklin,173
University of Richmond,173
Vidor,173
Bischofswerda,172
Dolbeau-mistassini,172
Eisfeld,172
Grand Falls,172
Hünfeld,172
Killington,172
Lake Katrine,172
Losheim,172
Merchantville,172
Millwood,172
Neepawa,172
North Houston,172
North Shore,172
Oederan,172
Stein,172
Trexlertown,172
Arecibo,171
Bad Salzschlirf,171
Barling,171
Bopfingen,171
Carleton,171
Cass City,171
Chestermere,171
Chetwynd,171
Chino Valley,171
Colwich,171
Coxsackie,171
Creech AFB,171
Crossen an der Elster,171
DeQuincy,171
Disputanta,171
Gadebusch,171
Jackson Center,171
Keansburg,171
Laguna,171
Lynnville,171
Molalla,171
Neuhausen auf den Fildern,171
Newaygo,171
Penig,171
Pictou,171
Red Lake,171
Ruther Glen,171
Schwanau,171
Van,171
Aldenhoven,170
Altlußheim,170
Aulendorf,170
Baldwin City,170
Born,170
Carlinville,170
Childersburg,170
Claysburg,170
Diez,170
Gansevoort,170
Graben,170
Graben-Neudorf,170
Hückeswagen,170
Ilion,170
Joshua Tree,170
Laufenburg,170
Raymondville,170
Richboro,170
Saint Simons,170
Seelze,170
Shiprock,170
Stuarts Draft,170
Tyndall AFB,170
Waldwick,170
Waskesiu Lake,170
Zell im Wiesental,170
Ankum,169
Bassum,169
Bella Bella,169
Breese,169
Dousman,169
Eighty Four,169
Ellwangen (Jagst),169
Estill,169
Goch,169
Golßen,169
Gößnitz,169
Haughton,169
Hellertown,169
Ida Grove,169
Ironwood,169
Jourdanton,169
Justin,169
Lithia,169
Mansfield Center,169
Obertrubach,169
Puget Sound,169
Reichshof,169
Rennerod,169
Tremonton,169
Tylertown,169
University Center,169
Assumption,168
Bad Berleburg,168
Baie-Comeau,168
Eddyville,168
Effort,168
Elburn,168
Grafenrheinfeld,168
Haddon Heights,168
Jersey Shore,168
Landau an der Isar,168
Leimen,168
McElhattan,168
Old Westbury,168
Palmerton,168
Piketon,168
Sea Cliff,168
Sicamous,168
Winnie,168
Wittstock/Dosse,168
Acushnet,167
Ammon,167
Bay Point,167
Borna,167
Henniker,167
Kawartha Lakes,167
Lindstrom,167
Mainz-Kastel,167
Masontown,167
McCarran,167
Mühlau,167
North Versailles,167
Raceland,167
Rayne,167
Red Hook,167
Rottenburg an der Laaber,167
Seven Fields,167
Somerton,167
Springhill,167
Strafford,167
Werlte,167
Aschau am Inn,166
Bad Wildbad im Schwarzwald,166
Bentwisch,166
Breaux Bridge,166
Chisago City,166
Clausthal-Zellerfeld,166
Hoosick Falls,166
Koloa,166
Moorbad Lobenstein,166
Northeast,166
Rotenburg,166
Ruhpolding,166
Saint-Georges-de-Beauce,166
Sitka,166
West Yarmouth,166
Bernice,165
Jerseyville,165
Luzerne,165
Moore Haven,165
Nitro,165
Oglesby,165
Perth,165
Pleidelsheim,165
Ridgeway,165
Slate Hill,165
South Williamson,165
Tega Cay,165
Teisnach,165
Township of Macomb,165
Zumbrota,165
Bad Laasphe,164
Beaconsfield,164
Bergneustadt,164
Berlin-Steglitz,164
Blackwell,164
Coffeyville,164
Hurlock,164
Marienville,164
Meeker,164
Molokai,164
Mömbris,164
Nittenau,164
Oerlinghausen,164
Robbins,164
Röttenbach,164
Saint-Charles-Borromée,164
Scappoose,164
Baar-Ebenhausen,163
Brooklyn Heights,163
Cambria,163
Cotati,163
Denklingen,163
Eastover,163
Exmore,163
Hörstel,163
Hot Springs Village,163
Langenberg,163
Mount Crawford,163
Ortonville,163
Raton,163
Remshalden,163
Schneverdingen,163
Untergruppenbach,163
Vaihingen (Stuttgart),163
Vellmar,163
Wirges,163
Aldie,162
Bad Arolsen,162
Bruckberg,162
Burgebrach,162
Colby,162
Frankfurt (Main) Niederrad,162
Gibsons,162
Ginsheim-Gustavsburg,162
Gladewater,162
Groß-Rohrheim,162
Hialeah Gardens,162
Imlay City,162
Ishpeming,162
Kananaskis Village,162
Montesano,162
Mount Gilead,162
North Arlington,162
Saltillo,162
Sebewaing,162
Seeheim-Jugenheim,162
South Bay,162
Suamico,162
Swannanoa,162
Vinita,162
Youngstown-Warren ARS,162
Bad Ems,161
Bedford Hills,161
Breidenbach,161
Cedarville,161
Columbia Heights,161
Feldkirchen-Westerham,161
Guilderland,161
Ilsenburg,161
Jacksboro,161
Jersey,161
Kettleman City,161
Kings Park,161
Kuttawa,161
Los Altos Hills,161
Lower Burrell,161
Morenci,161
Piermont,161
Randolph AFB,161
Rossford,161
Rotenburg an der Fulda,161
Sinzig,161
Stelle,161
Vilseck,161
Weil im Schönbuch,161
Weiskirchen,161
Weiss,161
Willoughby Hills,161
Wolgast,161
Zirkow,161
Afton,160
Almont,160
Bayfield,160
Beauport,160
Chattahoochee,160
Dodge Center,160
Dornstadt,160
Durand,160
Elmendorf,160
Flughafen Köln/Bonn,160
Headquarters,160
Lotte,160
Minett,160
Moran,160
Pardeeville,160
Plum,160
Ralston,160
Ravenswood,160
Ridge,160
Rittman,160
Sauerlach,160
Saulgau,160
Sierksdorf,160
South Dartmouth,160
Stephens City,160
Vreden,160
Wehingen,160
Anaconda,159
Babson Park,159
Blaichach,159
Bowmansville,159
Brandis,159
Halsbrücke,159
Haubstadt,159
Horseshoe Bay,159
Kodersdorf,159
Lanse,159
Leader,159
Saint Louis,159
Siershahn,159
Stilwell,159
Telluride,159
Ashcroft,158
Bassett,158
Bellerose,158
Bolling AFB,158
Dakota,158
Durach,158
Ely,158
Flagler Beach,158
Friesenheim,158
Höchst im Odenwald,158
Lebach,158
Östringen,158
Richton Park,158
Stonington,158
Upper East Side,158
Vernon Rockville,158
Vöhrenbach,158
Bois-des-Filion,157
Bräunlingen,157
Bridgton,157
Brimfield,157
Burglengenfeld,157
Carencro,157
Delson,157
Hamburg-Mitte,157
Happy Valley-Goose Bay,157
Highland Hills,157
Kaufman,157
Lauderdale Lakes,157
Leipheim,157
Petawawa,157
Pine City,157
Port Reading,157
Rösrath,157
San Anselmo,157
Southeastern,157
Susquehanna,157
Urbanna,157
West Greenwich,157
Westerburg,157
Acton Vale,156
Ainring,156
Berlin-Köpenick,156
Godley,156
Hodgenville,156
McClellan,156
Melvindale,156
North Quincy,156
Nümbrecht,156
Rietheim-Weilheim,156
Southhaven,156
Stanislaus,156
Tavernier,156
Township of Coal,156
White Cloud,156
Willington,156
Windber,156
Wood Buffalo,156
Berlin-Prenzlauer Berg,155
Camby,155
Colma,155
Dacono,155
Dettelbach,155
Drivers,155
Everswinkel,155
Feldberg,155
Geisenheim,155
Glen,155
Heinsdorfergrund,155
Herzberg am Harz,155
Howe,155
Iuka,155
Klettgau,155
Landstuhl,155
Lyme,155
Lyndonville,155
Morrilton,155
Nabburg,155
New Paris,155
Port Saint Joe,155
Salzgitter Lebenstedt,155
Shipshewana,155
Swisttal,155
Valley Cottage,155
West Hazleton,155
Beecher,154
Berg,154
Collins,154
Cutler Ridge,154
Dillingen an der Donau,154
Donora,154
Fallston,154
Graniteville,154
Kenton,154
Lavonia,154
Liberty Corner,154
Lost Hills,154
Maple Lake,154
Mission Valley,154
Nossen,154
Osterrönfeld,154
Quad Cities,154
Schlierbach,154
Sylvester,154
Uetze,154
Waretown,154
Zeithain,154
Little Ferry,153
Meisenheim,153
Nauen,153
Roland,153
Sailauf,153
Saint Lucie,153
Schwalmtal,153
St. Mary's City,153
Sunset Beach,153
Township of Freehold,153
Viroqua,153
Wind Gap,153
Bronx Zoo,152
Campbellford,152
Conneaut,152
Glatten,152
Myrtle Creek,152
Oberasbach,152
Olivia,152
Pepperell,152
Picatinny Arsenal,152
Ribnitz-Damgarten,152
Roßwein,152
Rülzheim,152
Saint Gabriel,152
Saint-Gabriel-de-Valcartier,152
Southold,152
Western,152
Bad Münder am Deister,151
Bodenheim,151
Buies Creek,151
Byesville,151
East Bridgewater,151
Fort McCoy,151
Gmund am Tegernsee,151
Hallsville,151
Ingersheim,151
Lake Powell,151
Lawnside,151
Lensahn,151
Mathis,151
Mechernich,151
Mira Mesa,151
Möhrendorf,151
Navarre Beach,151
Neustadt (Wied),151
Ober-Mörlen,151
Pearisburg,151
Rosharon,151
Roslyn Heights,151
Saint-Lambert,151
San Lorenzo,151
Sontra,151
Uhingen,151
Wahiawā,151
Wrightsville Beach,151
Altenholz,150
Basalt,150
Berlin-Wedding,150
Bohmte,150
City of Lakeland,150
Cooper City,150
Diepenau,150
Donalsonville,150
Dunlap,150
Ebersbach,150
Elmer,150
Elsenfeld,150
Fairchild AFB,150
Gibson City,150
Grünheide (Mark),150
Harmarville,150
Hickam AFB,150
Jarratt,150
Johnsburg,150
Kobern-Gondorf,150
Lohfelden,150
Mehlville,150
Murray Hill,150
Oberhof,150
Obrigheim,150
Qualicum Beach,150
Sankt Georgen,150
Satellite Beach,150
Scotland Neck,150
Stapelfeld,150
Stockdorf,150
Stryker,150
Wahoo,150
Woodbury Heights,150
Coweta,149
De Forest,149
Erwitte,149
Finksburg,149
Indiantown,149
Jordan Station,149
Kipling,149
Libby,149
Locust Valley,149
Mandaree,149
McLeansville,149
North Chili,149
Ogunquit,149
Port Gibson,149
Provincetown,149
Roscommon,149
Schechen,149
Stayton,149
Stetten am kalten Markt,149
Tisdale,149
Untermeitingen,149
Weldon Spring,149
Winters,149
Altus AFB,148
Atkinson,148
Bay Saint Louis,148
Berlin-Oberschöneweide,148
Browns Summit,148
Carlton,148
Coppenbrügge,148
Diemelstadt,148
Gochsheim,148
Grant,148
Heikendorf,148
Himmelkron,148
Mahlberg,148
New Liskeard,148
Pike Road,148
Roebuck,148
Simcoe County,148
Taneytown,148
West Richland,148
Annacis,147
Bad Elster,147
Beilngries,147
Breisach am Rhein,147
Buchholz (Westerwald),147
Cedar Creek,147
Desloge,147
Dettingen,147
Farmersville,147
Fort Greely,147
Geeste,147
Hayes,147
Herrieden,147
Lavista,147
Lomira,147
Moncure,147
Mönsheim,147
North Grosvenordale,147
Point of Rocks,147
Schüttorf,147
Seebach,147
Sögel,147
Spicewood,147
Wiscasset,147
Youngwood,147
Attalla,146
Bad Soden am Taunus,146
Bardowick,146
Briarwood,146
College,146
Coteau-du-Lac,146
Dawson City,146
Galliano,146
Holzmaden,146
Mattapan,146
Netphen,146
Neuhaus-Schierschnitz,146
Offingen,146
Olyphant,146
Ottersweier,146
Palisades Park,146
Pittsville,146
Polk City,146
Port Williams,146
Schmelz,146
Toronto Pearson International Airport,146
Utting am Ammersee,146
Weikersheim,146
Westoverledingen,146
Aspach,145
Augustdorf,145
Gyhum,145
Hachenburg,145
Holle,145
Jarrell,145
Kealakekua,145
Latta,145
Lauderdale-by-the-Sea,145
Manassas Park,145
Mariposa,145
Meadow Lands,145
Moose Lake,145
North Randall,145
Rice,145
Selm,145
Smokey Point,145
South Paris,145
Türkheim,145
West Haverstraw,145
Xanten,145
Aichwald,144
Apensen,144
Assamstadt,144
Buellton,144
Clairton,144
Dannenberg (Elbe),144
East Alton,144
Hailey,144
Kalkaska,144
Kesselsdorf,144
Krauchenwies,144
Long Valley,144
Lovejoy,144
Magstadt,144
Münchsmünster,144
Neukirch/Lausitz,144
Osawatomie,144
Ostenfeld,144
Rüdersdorf bei Berlin,144
Saint-Félix-de-Valois,144
Stonewall,144
Trafford,144
Uetersen,144
Wolfville,144
Banner Elk,143
Bay Village,143
Cochem,143
Cookstown,143
Crittenden,143
Egg Harbor City,143
Ehningen,143
El Mirage,143
Elchingen,143
Fenwick,143
Heiligenhafen,143
Hohenfels,143
Holdorf,143
Hueytown,143
Kalkar,143
Kane,143
Kilmarnock,143
Lake Havasu,143
Lanett,143
Langenlonsheim,143
Merion Station,143
New Roads,143
North Easton,143
Oberpfalz,143
Ratzeburg,143
Schwalbach,143
Township of Chesterfield,143
Weisendorf,143
Werneuchen,143
Adamstown,142
Anadarko,142
Bad Schussenried,142
Beulah,142
Blackshear,142
Blieskastel,142
Carrizo Springs,142
Chestnut Ridge,142
Colonia,142
Conifer,142
Daun,142
Elmvale,142
Gernsbach,142
Haledon,142
Handewitt,142
Hazel Green,142
Hopatcong,142
Kupferzell,142
Langwedel,142
Luckau,142
Munhall,142
New Town,142
New Wilmington,142
Outer Banks,142
Pipestone,142
Rindge,142
Rothenburg,142
Sabina,142
Waldkirchen,142
Walkersville,142
Ange-gardien,141
Baumholder,141
Denzlingen,141
East Canton,141
East China,141
East Jordan,141
East Los Angeles,141
East Pittsburgh,141
Eastern,141
Grasonville,141
Heathrow,141
Jever,141
Kinnelon,141
La Crescenta,141
Lake Ariel,141
Lamont,141
Los Fresnos,141
Manotick,141
Nobleton,141
Oberammergau,141
Petal,141
Pinetop,141
Plüderhausen,141
Schlema,141
Scholen,141
Sergeant Bluff,141
Sorrento,141
Stewartsville,141
Yanceyville,141
Bad Dürrenberg,140
Beach Haven,140
Blauvelt,140
Buhl,140
Carnesville,140
Caruthersville,140
Coquille,140
Dallgow-Döberitz,140
Gallin,140
Garnet Valley,140
Gröditz,140
Guyton,140
Mactier,140
Markranstädt,140
Marriottsville,140
Mill Hall,140
Nichols,140
Obertraubling,140
Old Forge,140
Patrick Afb,140
Princeton Junction,140
Saint Anthony,140
Saint Inigoes,140
Saint Matthews,140
Saint-Germain-de-Grantham,140
Schwanewede,140
Virden,140
Wellford,140
Baunach,139
Baxter Springs,139
Burgbernheim,139
Calvert City,139
Enoch,139
Fennville,139
Garwood,139
Heflin,139
Hodenhagen,139
Island Park,139
Jones,139
La Malbaie,139
Lincoln University,139
Lollar,139
Mackinac Island,139
Möckmühl,139
Nunnelly,139
Pocahontas,139
Reichertshofen,139
Rüdesheim am Rhein,139
Schnaittach,139
Strand,139
Tanna,139
Teublitz,139
Wadesboro,139
White,139
White Settlement,139
Bad Friedrichshall,138
Bischofswiesen,138
Buseck,138
Canajoharie,138
Chugiak,138
Falkenstein/Vogtland,138
Fuhlsbüttel,138
Grasbrunn,138
Gwinn,138
Hildburghausen,138
Johnson,138
Kildeer,138
Mackinaw City,138
Malsfeld,138
Mammoth,138
Mercerville,138
North Chelmsford,138
Nufringen,138
Ostseebad Binz,138
Oxford Valley,138
Oyten,138
Pepin,138
Robesonia,138
Rövershagen,138
Tittling,138
Trophy Club,138
Valleyview,138
White Oak,138
Alameda Harbor,137
Bad Liebenzell,137
Bad Wimpfen,137
Dennis,137
Enkenbach-Alsenborn,137
Etowah,137
Frankford,137
Geestland,137
Geisingen,137
Kellinghusen,137
Kerman,137
Klipphausen,137
Lacon,137
Lemförde,137
Mapleton,137
Mora,137
New Florence,137
North Saint Paul,137
Owings,137
Rosholt,137
West Hempstead,137
White House,137
Aitkin,136
Atascocita,136
Bonduel,136
Carey,136
City of Laredo,136
Dietenhofen,136
Doswell,136
Dumont,136
Fort Wright,136
Herschbach,136
Immenhausen,136
Künzell,136
Lavale,136
Louisiana,136
Markt Schwaben,136
Maxwell,136
New Freedom,136
Slater,136
Ste. Genevieve,136
Wheeler,136
Windach,136
Atikokan,135
Cape Elizabeth,135
Cuero,135
Cuthbert,135
Ellenboro,135
Florstadt,135
Fort Mackay,135
Glenmoore,135
Harrow,135
Isabela,135
Linnich,135
Moscow Mills,135
Neusäß,135
Ostbevern,135
Pine Hills,135
Rheinstetten,135
Sainte-Catherine,135
Trotwood,135
Unterfranken,135
Wäschenbeuren,135
Westover,135
Wilder,135
Woods,135
Alfred,134
Arleta,134
Bösel,134
Cokato,134
Deadwood,134
Evington,134
Fruitland Park,134
Gates,134
Gun Barrel City,134
Hodgkins,134
Jim Thorpe,134
Kalbach,134
La Marque,134
Lauda-Königshofen,134
Metamora,134
Mitterteich,134
Mullins,134
Neuenburg am Rhein,134
New Fairfield,134
Simmerath,134
Solsberry,134
Treasure Island,134
Vöhringen,134
Zwingenberg,134
Aichtal,133
Bendorf,133
Capac,133
Clarenville,133
Clear Lake City,133
Contoocook,133
East Falmouth,133
Florenceville,133
Ford City,133
Frederic,133
Grover Beach,133
Herscheid,133
Iron River,133
Kasendorf,133
Kastl,133
La Pocatiere,133
Laer,133
Lathen,133
Mount Wolf,133
Oberkotzau,133
Paola,133
Rosendahl,133
Sand City,133
Wood Village,133
Bad Wiessee,132
Clear Lake Shores,132
Crafton,132
Emigsville,132
Fort Mohave,132
Ganderkesee,132
Geisenhausen,132
Gräfenberg,132
Grosse Ile,132
Hamburg-Altona,132
La Junta,132
